Filtered_miRNA_Reads	Unique_miRNAs	groups
561813	458	Epithelial
941841	503	Epithelial
689746	499	Epithelial
6102463	584	Epithelial
3945080	505	Epithelial
4651728	566	Epithelial
235598	384	Epithelial
226225	379	Epithelial
239830	382	Epithelial
229111	375	Epithelial
75746	257	Epithelial
73347	244	Epithelial
76154	268	Epithelial
74301	248	Epithelial
221898	428	Epithelial
217646	437	Epithelial
221389	447	Epithelial
219542	425	Epithelial
614556	524	Epithelial
599555	486	Epithelial
615156	522	Epithelial
605307	515	Epithelial
56128	244	Epithelial
54158	231	Epithelial
55880	242	Epithelial
55214	243	Epithelial
1836735	517	Epithelial
2907565	602	Epithelial
5122415	670	Epithelial
570579	497	Fat
732831	530	Fat
688958	428	Immune
537444	384	Immune
542523	403	Immune
411475	367	Immune
1327605	482	Immune
1322909	505	Immune
1343686	493	Immune
1339866	502	Immune
577801	384	Immune
573410	382	Immune
585962	390	Immune
581977	381	Immune
2230838	612	Immune
2225526	598	Immune
2257765	610	Immune
2251455	607	Immune
777313	431	Immune
775009	452	Immune
789420	440	Immune
783940	448	Immune
3544269	575	Immune
4075105	571	Immune
2425208	475	Immune
2874368	503	Immune
2305863	484	Immune
2770984	495	Immune
2540215	500	Immune
3024716	498	Immune
1004324	379	Immune
1802301	448	Immune
1395860	439	Immune
804435	404	Immune
706734	342	Immune
423040	316	Immune
2252047	504	Immune
1752220	455	Immune
1331697	396	Immune
959902	415	Immune
374179	292	Immune
819636	359	Immune
21086399	937	Immune
24335837	897	Immune
23168552	890	Immune
26017530	991	Immune
17804218	900	Immune
30146644	1018	Immune
6954795	754	Immune
5379284	697	Immune
7068265	733	Immune
6703637	730	Immune
6920486	751	Immune
7927648	801	Immune
8767179	821	Immune
8638607	784	Immune
2248596	586	Immune
2241608	578	Immune
1702801	550	Immune
1701478	533	Immune
3024115	604	Immune
7397902	804	Epithelial
3020876	598	Immune
2473230	566	Immune
2464041	591	Immune
3118670	637	Immune
3113658	627	Immune
3507048	656	Immune
3499981	659	Immune
2697695	601	Immune
2690479	593	Immune
2467440	578	Immune
2461750	574	Immune
2826969	601	Immune
2810537	583	Immune
2116219	567	Immune
2109678	555	Immune
1373717	504	Immune
1370288	522	Immune
1710130	540	Immune
1708129	543	Immune
3153319	625	Immune
3141172	630	Immune
1444119	545	Immune
1439998	518	Immune
2765335	598	Immune
2759701	604	Immune
1957120	576	Immune
1951617	556	Immune
2477863	609	Immune
2473459	610	Immune
2238783	572	Immune
2231713	593	Immune
3275354	639	Immune
3266904	644	Immune
2425352	605	Immune
2413842	589	Immune
2854558	616	Immune
2840530	611	Immune
1666879	543	Immune
1661449	546	Immune
1322434	527	Immune
1318145	515	Immune
6878682	682	Immune
8381913	824	Endothelial
4717611	770	Muscle
4753980	688	Epithelial
15284470	874	Epithelial
7683142	716	Fibroblast
8126602	731	Fibroblast
2756379	566	Epithelial
5462181	707	Epithelial
35547652	1187	Brain
5744726	778	Epithelial
14381385	958	Muscle
8359515	795	Epithelial
5853180	781	Endothelial
10117078	838	Brain
7206323	734	Muscle
7386728	815	Epithelial
8031067	720	Muscle
8965637	888	Muscle
7014338	593	Epithelial
7577819	944	Fibroblast
8051193	749	Other
8343249	867	Muscle
8245811	860	Epithelial
7106682	865	Epithelial
6759140	785	Fibroblast
